Protein_ID,Label
O00115,2
O00116,7
O00124,1
O00139,5
O00139-1,1
O00139-2,2
O00139-4,2
O00141,4
O00144,1
O00148,7
O00148-2,2
O00148-3,2
O00151,7
O00154,6
O00154-2,2
O00154-3,2
O00154-4,2
O00154-5,2
O00154-6,3
O00154-7,2
O00159,7
O00159-2,2
O00159-3,2
O00160,2
O00161,3
O00161-2,1
O00165,2
O00165-5,1
O00167,2
O00168,1
O00170,6
O00178,4
O00180,2
O00182,1
O00186,9
O00189,1
O00192,2
O00193,8
O00194,3
O00203,6
O00203-3,2
O00212,1
O00213,3
O00213-2,1
O00214,1
O00214-2,1
O00217,5
O00219,1
O00220,3
O00221,2
O00222,3
O00231,7
O00231-2,1
O00232,7
O00232-2,2
O00233,7
O00233-2,1
O00237,2
O00238,2
O00241,1
O00244,6
O00254,1
O00255,5
O00255-2,1
O00255-3,1
O00257,5
O00258,3
O00264,5
O00267,7
O00267-2,1
O00268,3
O00273,5
O00273-2,1
O00287,2
O00291,4
O00294,2
O00299,6
O00303,5
O00305,1
O00308,2
O00311,3
O00321,2
O00327,3
O00327-4,1
O00327-9,1
O00329,3
O00330,7
O00330-3,1
O00338,1
O00339,1
O00339-3,1
O00358,2
O00360,2
O00370,6
O00391,3
O00391-2,1
O00399,4
O00400,2
O00401,3
O00408,2
O00408-2,1
O00409,1
O00410,8
O00410-2,1
O00410-3,1
O00411,3
O00418,3
O00421,1
O00421-2,1
O00422,5
O00423,1
O00425,5
O00429,6
O00429-2,2
O00429-3,2
O00429-4,2
O00429-5,2
O00429-6,1
O00429-7,2
O00429-8,1
O00429-9,1
O00442,5
O00442-2,1
O00443,5
O00444,3
O00444-3,1
O00445,2
O00458,3
O00459,3
O00461,5
O00462,2
O00463,2
O00468,2
O00468-6,1
O00469,5
O00469-2,2
O00470,2
O00471,5
O00472,3
O00478,2
O00478-2,1
O00479,4
O00481,1
O00481-2,1
O00482,3
O00482-2,1
O00482-3,1
O00482-4,1
O00483,6
O00487,7
O00488,2
O00499,6
O00499-10,1
O00499-2,1
O00499-9,2
O00505,4
O00506,4
O00507,4
O00507-2,1
O00512,3
O00515,3
O00522,4
O00526,1
O00533,2
O00534,2
O00541,6
O00541-2,2
O00548,1
O00555,1
O00559,2
O00559-2,1
O00560,6
O00560-3,1
O00562,1
O00566,8
O00567,9
O00570,1
O00571,9
O00571-2,4
O00584,2
O00585,2
O00587,1
O00592,6
O00622,3
O00623,2
O00625,4
O00628,2
O00629,6
O00635,5
O00712,3
O00716,2
O00743,4
O00743-2,2
O00743-3,1
O00744,1
O00746,1
O00746-2,1
O00748,1
O00750,2
O00754,3
O00757,2
O00762,4
O00763,3
O00763-2,1
O00764,6
O00767,6
O14490,2
O14490-7,1
O14492,1
O14493,1
O14494,3
O14495,1
O14497,6
O14497-2,1
O14497-3,1
O14498,1
O14503,3
O14508,1
O14511,1
O14512,2
O14513,3
O14514,2
O14519,2
O14521-2,1
O14522,1
O14523,2
O14524,3
O14524-2,1
O14525,1
O14525-2,1
O14526,2
O14529,3
O14530,6
O14531,3
O14543,2
O14544,1
O14545,5
O14548,5
O14556,2
O14558,1
O14561,6
O14562,4
O14569,2
O14576,2
O14578,6
O14578-2,1
O14578-3,1
O14578-4,1
O14579,5
O14593,2
O14595,1
O14598,1
O14602,5
O14604,2
O14607,2
O14613,1
O14617,6
O14617-2,1
O14617-3,1
O14617-4,1
O14617-5,2
O14618,1
O14628,3
O14628-4,1
O14628-5,1
O14639,5
O14640,1
O14640-2,2
O14641,3
O14646,7
O14646-2,1
O14647,4
O14653,3
O14654,3
O14656,5
O14657,2
O14662,3
O14668,1
O14672,5
O14678,1
O14681,2
O14682,2
O14683,2
O14684,4
O14686,4
O14686-3,2
O14709,4
O14713,1
O14715,4
O14717,2
O14727,4
O14727-2,1
O14727-3,1
O14727-4,1
O14727-5,1
O14727-6,1
O14730,4
O14730-2,1
O14732,2
O14733,4
O14733-2,2
O14733-4,1
O14734,3
O14735,1
O14737,5
